angle, intensity, difference
0.0, 1058, -442
7.0282828282828405, 1112, -388
10.614141414141443, 1172, -328
14.34343434343441, 1209, -291
17.35555555555561, 1099, -401
20.51111111111112, 901, -599
23.523232323232378, 747, -753
26.53535353535358, 704, -796
28.686868686868763, 785, -715
32.41616161616179, 975, -525
35.858585858586025, 1113, -387
37.43636363636381, 1159, -341
41.59595959595981, 1130, -370
44.17777777777803, 954, -546
46.472727272727525, 854, -646
49.62828282828309, 851, -649
51.63636363636397, 892, -608
55.65252525252561, 1057, -443
58.377777777778135, 1147, -353
60.52929292929326, 1141, -359
63.54141414141452, 1129, -371
65.1191919191923, 1127, -373
67.70101010101047, 1123, -377
69.8525252525256, 1115, -385
72.14747474747509, 1113, -387
75.73333333333363, 1107, -393
79.03232323232356, 1108, -392
83.47878787878824, 1074, -426
87.06464646464678, 927, -573
89.21616161616191, 760, -740
91.5111111111114, 633, -867
94.37979797979824, 648, -852
97.3919191919195, 801, -699
100.40404040404076, 972, -528
103.9898989898993, 1096, -404
106.42828282828316, 1116, -384
108.57979797979834, 1104, -396
111.01818181818214, 1099, -401
114.31717171717207, 1101, -399
118.47676767676808, 1107, -393
121.48888888888933, 1120, -380
123.92727272727319, 1130, -370
126.22222222222268, 1133, -367
129.9515151515156, 1143, -357
132.8202020202025, 1144, -356
135.97575757575805, 1158, -342
139.13131313131362, 1176, -324
142.14343434343482, 1188, -312
147.0202020202026, 1212, -288
150.46262626262683, 1234, -266
154.4787878787884, 1252, -248
156.63030303030354, 1268, -232
158.92525252525303, 1268, -232
162.654545454546, 1262, -238
165.6666666666672, 1250, -250
167.81818181818232, 1234, -266
170.4000000000005, 1227, -273
173.41212121212175, 1220, -280
176.71111111111168, 1227, -273
179.57979797979857, 1238, -262
181.87474747474806, 1250, -250
184.45656565656628, 1263, -237
187.46868686868754, 1267, -233
190.6242424242431, 1268, -232
192.77575757575823, 1261, -239
196.64848484848545, 1259, -241
198.94343434343494, 1252, -248
201.38181818181874, 1233, -267
203.67676767676824, 1219, -281
206.68888888888944, 1218, -282
209.70101010101064, 1224, -276
212.8565656565662, 1242, -258
215.00808080808133, 1248, -252
217.5898989898995, 1228, -272
219.16767676767728, 1211, -289
222.3232323232329, 1197, -303
225.33535353535416, 1189, -311
227.4868686868693, 1192, -308
230.0686868686875, 1185, -315
232.07676767676838, 1186, -314
236.52323232323306, 1181, -319
238.67474747474824, 1116, -384
240.96969696969774, 928, -572
244.842424242425, 865, -635
246.9939393939402, 879, -621
250.0060606060614, 955, -545
252.4444444444452, 1154, -346
256.4606060606068, 1214, -286
259.3292929292937, 1206, -294
262.48484848484924, 1176, -324
265.49696969697044, 1151, -349
267.79191919191993, 1138, -362
271.23434343434417, 1133, -367
274.24646464646537, 1143, -357
277.25858585858657, 1155, -345
281.4181818181825, 1167, -333
283.5696969696977, 1186, -314
286.00808080808156, 1201, -299
289.1636363636371, 1212, -288
292.032323232324, 1214, -286
294.32727272727357, 1206, -294
295.6181818181827, 1198, -302
298.34343434343526, 1200, -300
300.63838383838475, 1202, -298
301.92929292929387, 1202, -298
305.22828282828374, 1215, -285
307.37979797979887, 1221, -279
308.81414141414234, 1231, -269
310.9656565656575, 1242, -258
313.69090909091005, 1243, -257
316.1292929292939, 1253, -247
320.0020202020212, 1262, -238
323.73131313131415, 1274, -226
327.0303030303041, 1282, -218
330.18585858585965, 1276, -224
332.4808080808092, 1271, -229
334.7757575757587, 1253, -247
336.9272727272738, 1236, -264
339.078787878789, 1217, -283
341.5171717171728, 1194, -306
342.9515151515163, 1185, -315
345.3898989899001, 1202, -298
347.68484848484957, 1227, -273
349.6929292929304, 1259, -241
351.98787878787994, 1294, -206
353.4222222222234, 1309, -191
355.7171717171729, 1329, -171
358.0121212121224, 1336, -164
